"Transaction ID",Item,Quantity,"Price Per Unit","Total Spent","Payment Method",Location,"Transaction Date",row_num
TXN_1000555,Tea,1,1.5,1.5,"Credit Card",In-store,2023-10-19,1
TXN_1002457,Cookie,5,1,5.0,"Digital Wallet",Takeaway,2023-09-29,1
TXN_1004184,Smoothie,1,4,4.0,"Credit Card",In-store,2023-05-18,1
TXN_1004563,Tea,5,1.5,7.5,"Credit Card",In-store,2023-10-28,1
TXN_1005331,Coffee,1,2,2.0,"Digital Wallet",Takeaway,2023-11-04,1
TXN_1006942,Salad,1,5,5.0,"Credit Card",In-store,2023-11-30,1
TXN_1007347,Salad,4,5,20.0,"Digital Wallet",In-store,2023-08-28,1
TXN_1009421,Cookie,4,1,4.0,Cash,Takeaway,2023-02-21,1
TXN_1011236,Cake,1,3,3.0,Cash,In-store,2023-02-08,1
TXN_1012349,UNKNOWN,4,3,12.0,Cash,In-store,2023-07-08,1
TXN_1015883,Cookie,4,1,4.0,Cash,In-store,2023-10-16,1
TXN_1020478,Coffee,1,2,2.0,"Digital Wallet",Takeaway,2023-03-09,1
TXN_1022523,Salad,4,5,20.0,Cash,In-store,2023-11-25,1
TXN_1026827,Cookie,4,1,4.0,"Digital Wallet",In-store,2023-01-02,1
TXN_1035504,Smoothie,2,4,8.0,"Digital Wallet",Takeaway,2023-03-30,1
TXN_1040764,Coffee,3,2,6.0,Cash,Takeaway,2023-07-27,1
TXN_1045022,Sandwich,4,4,16.0,"Credit Card",Takeaway,2023-10-13,1
TXN_1046394,Smoothie,1,4,4.0,Cash,In-store,2023-04-29,1
TXN_1047450,Coffee,2,2,4.0,Cash,In-store,2023-11-19,1
TXN_1048284,Salad,2,5,10.0,Cash,In-store,2023-08-19,1
TXN_1050083,Cake,5,3,15.0,"Credit Card",Takeaway,2023-06-28,1
TXN_1057209,UNKNOWN,5,1,5.0,"Credit Card",In-store,2023-09-17,1
TXN_1057760,Juice,4,3,12.0,"Credit Card",Takeaway,2023-02-20,1
TXN_1058466,Cookie,3,1,3.0,"Digital Wallet",Takeaway,2023-12-07,1
TXN_1058957,Juice,2,3,6.0,Cash,In-store,2023-03-21,1
TXN_1064565,Juice,4,3,12.0,"Digital Wallet",In-store,2023-03-14,1
TXN_1065721,Sandwich,4,4,16.0,Cash,Takeaway,2023-12-06,1
TXN_1068317,Juice,3,3,ERROR,"Digital Wallet",Takeaway,2023-03-16,1
TXN_1072232,Sandwich,1,4,4.0,"Digital Wallet",In-store,2023-01-07,1
TXN_1075969,Cookie,2,1,2.0,"Digital Wallet",ERROR,2023-08-13,1
TXN_1079241,Juice,3,3,9.0,"Digital Wallet",Takeaway,2023-07-16,1
TXN_1080432,Salad,2,5,10.0,"Credit Card",In-store,2023-04-29,1
TXN_1082421,Salad,1,5,5.0,"Digital Wallet",In-store,2023-12-19,1
TXN_1084010,Smoothie,2,4,8.0,"Credit Card",In-store,2023-08-11,1
TXN_1084222,Coffee,4,2,8.0,"Digital Wallet",In-store,2023-06-03,1
TXN_1088497,Sandwich,1,4,4.0,"Digital Wallet",Takeaway,2023-07-05,1
TXN_1091115,Sandwich,5,4,20.0,Cash,Takeaway,2023-11-04,1
TXN_1093668,Coffee,2,2,4.0,"Digital Wallet",ERROR,2023-05-18,1
TXN_1097334,Coffee,2,2,4.0,"Credit Card",Takeaway,2023-03-21,1
TXN_1104849,UNKNOWN,4,4,16.0,"Digital Wallet",Takeaway,2023-07-05,1
TXN_1105589,Coffee,5,2,10.0,Cash,Takeaway,2023-07-04,1
TXN_1108663,Juice,3,3,9.0,Cash,Takeaway,2023-08-16,1
TXN_1116119,Smoothie,4,4,16.0,"Digital Wallet",In-store,2023-08-07,1
TXN_1118799,ERROR,4,4,,"Credit Card",Takeaway,2023-09-19,1
TXN_1121833,Coffee,4,2,8.0,"Credit Card",In-store,2023-03-16,1
TXN_1122699,UNKNOWN,5,5,25.0,"Digital Wallet",In-store,2023-10-14,1
TXN_1122700,Salad,5,5,ERROR,"Digital Wallet",In-store,2023-11-09,1
TXN_1123138,Salad,1,5,5.0,Cash,In-store,2023-02-10,1
TXN_1124753,Salad,4,5,20.0,"Digital Wallet",In-store,2023-10-19,1
TXN_1128577,Sandwich,1,4,4.0,"Digital Wallet",In-store,2023-11-23,1
TXN_1130142,Cookie,1,1,1.0,"Credit Card",In-store,2023-03-13,1
TXN_1130191,Smoothie,2,4,8.0,Cash,In-store,2023-04-06,1
